pname,jpname,lat,lon,category,label,Description,popularity
None,壬生寺,135.743715834333,35.00162473,temple,buddha,"Mibu-dera is famous as the temple that once served as the headquarters to the illustrious/infamous Shinsengumi, a special police force organized by the shogunate to protect their interests in Kyoto during a time of political turmoil between forces supporting the military government and those who wished to return to imperial rule.  Several graves of Shinsengumi members lay within the temple grounds, as well as a statue of leader Kondō Isami.  Mibu-dera is also home to a large main hall, stupa, and sub-shrines.  One of Kyoto’s oldest temples, Mibu-dera is a prime example of a temple that has remained relevant in the modern age, now operating many community services out of the temple grounds such as a daycare and retirement home.
For detail information: http://www.mibudera.com/eng/",10
None,立命館大学,135.723727227273,35.032975,university,university,"Ritsumeikan university is known as one of western Japan's four leading private universities. ""KAN-KAN-DO-RITS"" 関関同立 (Kwansei Gakuin University, Kansai University, Doshisha University, and Ritsumeikan University) is the abbreviation that refers to the four leading private universities in the region (of 20 million people). Ritsumeikan University is well-known for its International Relations and Science & Engineering departments. 
For detail information: http://en.ritsumei.ac.jp/",9
None,トロッコ嵐山駅,135.670349762519,35.017165495,station,station,"Torokko Arashiyama Station (トロッコ嵐山駅, Torokko Arashiyama-eki) is the second train station on the Sagano Scenic Line, a sightseeing train that follows the picturesque Hozukyo Ravine of the old JR West Sagano Line. It is located in Kamigyo-ku, Kyoto, Japan.
For detail information: https://www.sagano-kanko.co.jp/en/arashiyama.php",9
None,妙心寺,135.720211257553,35.0237915,temple,buddha,"Myoshinji (妙心寺, Myōshinji) is a large temple complex in northwestern Kyoto which includes about 50 subtemples in addition to its main buildings. While a few of the temple halls can be entered, the majority of the subtemples are closed to the public. However, visitors are free to wander along the walking paths. In several ways the temple complex resembles Daitokuji Temple.
For detail information: https://www.myoshinji.or.jp/english/",9
None,豊国神社,135.77221530303,34.9914,jinja,shinto,"Toyokuni-jinja is a shrine that is dedicated to one of Japan’s 3 great heroes, Toyotomi Hideyoshi. The other two heroes are Oda Nobunaga and Tokugawa Ieyasu. There are similar shrines in both Osaka, Aichi, and Shiga Prefectures, but this is the one in Kyoto. Toyokuni-jinja was destroyed following the opening of the Tokugawa Shogunate, but was reconstructed in 1868 under instructions of the new shogunate.
For detail information:  https://www.japanhoppers.com/en/kansai/kyoto/kanko/894/",8
None,車折神社,135.689077313969,35.01565966,jinja,shinto,"Kurumazaki-jinja was constructed at the end of the Heian period (794–1185) that is dedicated to the Confucian scholar Kiyohara Yorinari who served the emperor. He is widely believed to be a god of ""not breaking promises"",  and so people come here to pray to be able to protect their business promises, receive business prosperity from keeping their marriage vows, and he is also known as deity for helping one find a romantic partner.
For detail information: http://www.japan-travel-navi.jp/kyoto/en/spots/rakusai/kurumazakijinja/",7
None,永観堂,135.79493629903,35.013974755,jinja,shinto，sukura,"Eikando (永観堂, Eikandō), formally known as Zenrinji Temple, belongs to the Jodo sect of Japanese Buddhism. Located just north of the large temple complex of Nanzenji, Eikando is very famous for its autumn colors and the evening illuminations that take place in fall. The temple has a long history, and there are a variety of buildings and a pond garden that visitors can explore.
For detail information: http://www.eikando.or.jp/English/haikan_e.html",7
None,京都国立博物館,135.772880185222,34.990055,museum,collection,"Opened in 1897, the Kyoto National Museum (京都国立博物館, Kyōto Kokuritsu Hakubutsukan) is one of Japan's oldest and most distinguished museums. It is one of only four top-level national museums alongside the Tokyo National Museum, Nara National Museum and Kyushu National Museum.
For detail information: https://www.kyohaku.go.jp/eng/index.html",7
None,興正寺,135.752107810487,34.98968815,temple,buddha,"Koshoji Temple (興聖寺, Kōshōji) is relatively new by Uji's standards. Originally built in 1233 at a different location in Kyoto, the temple was moved to Uji in 1648. The temple has a nice garden in its open court, with a five storied stone pagoda and carefully pruned trees and bushes.
For detail information: https://www.uji-koushouji.jp/eng/index.html",6
None,霊山観音,135.781751910753,34.999895,museum,Pacific War,"The Ryōzen Kannon (霊山観音) is a war memorial commemorating the War dead of the Pacific War located in Eastern Kyoto.[1] The concrete and steel statue of the Bodhisattva Avalokiteśvara (Kannon) was built by Hirosuke Ishikawa and unveiled on 8 June 1955. The statue is 24 m (80 ft) high and weighs approximately 500 tons. The shrine beneath the statue contains an image of Bodhisattva Ekādaśamukha and images of the god of wind and god of thunder. Memorial tablets of 2 million Japanese who died in World War II are also stored here. Four times a day services are conducted in their memory. Also on the site is a memorial hall in honour of the unknown soldier killed in World War II.
For detail information: http://www.ryozen-kwannon.jp/indexE.html",6
None,智積院,135.776788029372,34.98806095,temple,buddha,"Kyoto's Chishakuin Temple is best known for its panel paintings and its gardens. It is along a well-trod route, just across the street from the Hyatt hotel and Kyoto National Museum, and a short walk from Sanjusangendo. Chishakuin Temple was originally built at Koyasan in Wakayama, which is far south of Kyoto, in memory of Toyotomi Hideyoshi's son Sutemaru, who died at age three. The buildings were brought here in 1598 on the orders of Tokugawa Ieyasu.
For detail information: https://chisan.or.jp/english/",6
None,神護寺,135.669461449142,35.05415244,temple,buddha,"Jingo-ji Temple, a famous temple of the Shingon School, was founded in 781. Visitors to the temple can throw clay kawarake discs into the valley that lies below in order to dispel bad karma. Numerous statues, paintings, and writings from the Heian and Kamakura Periods are housed here. It is also a popular spot for viewing the beautiful autumn foliage. For a period of 14 years from 809, the founder of Shingon Buddhism in Japan, Kobo Daishi, was the abbot of this temple. Over time the temple became dilapidated with age but was rebuilt in Heian Period by the priest Bunkaku.
For detail information: https://kyoto.travel/en/shrine_temple/187.html",5
None,清涼寺,135.674459554243,35.02342578,temple,"buddha,mapple","Seiryo-ji Temple (Shaka-do), Kyoto is commonly known as Shaka-do and situated on what was once Saga Moor in Kyoto, Seiryo-ji Temple is known for its highly venerated sandalwood image of Shaka (Shakyamuni), the historical Buddha. In 985, the monk Chonen went to China on a pilgrimage and commissioned a copy of the legendary Udayana Buddha, said to be an actual likeness made by the Indian King Udayana during the Buddha's lifetime. The Udayana Buddha was subsequently moved to China and eventually lost during the Boxer Rebellion of 1900.
For detail information: http://seiryoji.or.jp/",5
None,法輪寺,135.67723397216,35.010229195,temple,buddha,"Horinji has an attractive three-storey pagoda and a collection of significant statues. It was possibly built by Prince Shotoku’s eldest son to pray for his father’s recovery from illness in AD 622, or it may have been built by three monks in AD 670: no one is certain. Lightning struck the pagoda in 1944, burning it to the ground. With donations from the public, it was reconstructed in 1978. There is an elegant Asuka Period Yakushi Nyorai (Healing Buddha), along with several statues of Prince Shotoku, other Buddhas and an eleven headed Kannon from the Heian period. In early autumn, the walk from Horyuji to Horinji leads through fields of delicate cosmos flowers.
For detail information: https://www.kokuzohourinji.com/index.en.html",5
None,近衛邸跡,135.760900436475,35.028175,park,remains，sukura,,5
None,高山寺,135.677843597267,35.060785325,temple,"buddha,heritage","A UNESCO World Heritage Site nestled in the mountains of western Kyoto, Kōsan-ji (or Kōzan-ji) was founded by the Shingon sect monk and scholar Myōe in 1206.  Saint Myōe hosted salons at Kōsan-ji attended by the wealthy and cultured, and through such practices accumulated numerous artifacts and items that are now valued as National Treasures, including the famous Chōjū-jinbutsu-giga (""Animal-person Caricatures"") picture scroll.  The oldest tea field in Japan is also located in a humble plot on the grounds- at one time it was considered the only ""true"" tea plant to make the drink from.  Kōsan-ji takes time to reach by bus from the city center, but it’s worth it for an overwhelmingly natural atmosphere and breathtaking mountain views.
For detail information: https://www.discoverkyoto.com/places-go/kozan-ji/",5
None,上賀茂神社,135.752437540694,35.05975453,jinja,shinto,"Kamo-wake-ikazuchi-Jinja in the Kita Ward of Kyoto is the oldest Shinto shrine in the ancient city. Since prehistoric times Kamigamo-jinja has preserved and transmitted the legends relating to the birth of the shrine deity, Wakeikazuchi.
Ancient rituals which transmit faith in the divine mountan, Kamo Sai also known as Aoi Matsuri which started during the reign of Emperor Kinmei in 544, and the shrine buildings retaining the style of the early Heian Period, all convey the history of the province of Yamashiro (southern Kyoto Prefecture).
For detail information: https://www.kamigamojinja.jp/english/",4
None,京都水族館,135.747810769231,34.98755,museum,animal,"Kyoto Aquarium (京都水族館, Kyōto Suizokukan) is modern and nicely designed, but small compared to Japan's best aquariums. It was newly opened in March 2012 in Umekoji Park, about one kilometer west of Kyoto Station. The two-story facility is divided into several zones with various themes, exhibiting a variety of aquatic animals.
For detail information: https://www.kyoto-aquarium.com/en/index.html",4
None,五百佛山 智積院,135.775744990125,34.98824,temple,buddha,"Chishakuin is the head temple of the Chishakuin sect of the Shingon sect and is located in Shichijo, Higashiyama, Kyoto City.
Our sect includes Naritasan Shinshoji Temple, Kawasaki Daishi Heimaji Temple, Takaoyama Yakuouin Temple, Takahatayama Kongoji Temple in Tokyo, and Osu Kannon Hoseiin Temple in Nagoya City, which are more than 3,000 nationwide. With temples and churches, Chishakuin Temple is positioned as a general bodhisattva and a total prayer center as the basis of the worship of about 300,000 Danish believers nationwide.
For detail information: https://chisan.or.jp/chishakuin/
",4
None,木屋町通,135.770493771028,35.006575,street,river,"One of Kyoto’s favorite Cherry blossom spots is this picturesque street along the Takase River in the heart of Kyoto! You can walk and enjoy the cherry trees along the embankment all the way from Nijō-Kiyamachi to Jujo dori, although that would be quite a walk. The main part is between Sanjo Dori and Shijo Dori. There are many bars, restaurants and shops in this part of Kyoto, and with a bit of patience you can spot some Maiko strolling along in colorful kimono.
For detail information: https://travel.gaijinpot.com/kiyamachi-dori-street/",4
None,鞍馬寺,135.770700564636,35.118002035,temple,buddha,"Kurama (鞍馬) is a rural town in the northern mountains of Kyoto City, less than one hour from the city center. Kurama is best known for its temple Kurama-dera and its hot spring, one of the most easily accessible hot springs from Kyoto. Outdoor and indoor baths can be enjoyed at Kurama Onsen, a ryokan located at the upper end of the town of Kurama. It can be reached in a 10 minute walk from the train station along the town's only road or along a nature trail following the river. Staying guests can use the baths for free, while daytrippers pay 2500 yen to use all of the baths or 1000 yen for just the outdoor bath (rotemburo).
For detail information: https://www.japan-guide.com/e/e3933.html",4
None,法然院,135.79747281593,35.023969415,temple,buddha,"A small temple accessible as a quick detour from the scenic Philosopher’s Path, Hōnen-in is an independent Buddhist temple that possesses a removed and calm atmosphere.  Not many tourists come to this neck of the woods outside the popular fall leaf viewing season, so the grounds are relatively peaceful.  The most charming point is the thatched-roof main gate and two sand art constructions just inside.  Unlike most sand gardens you’ll see in Kyoto, these two patches of sand have been raised and compacted with designs etched in to the top that vary by season.  A small pond crossed by a stone bridge lies on the straight path from the gate, but deviating to the left will take you to a carved stone stupa and an interesting modern art installation.  The actual buildings on the property are only open to the public once in spring and once in fall, but walking along the edges of it will bring you to the worship hall and a statue set in to a small cave.  More than what you can see directly, enjoy Hōnen-in for the peaceful break it can give you.
For detail information: http://www.honen-in.jp/",4
None,京都市美術館,135.783744346436,35.012783005,museum,art,"Located across from MOMAK near Heian Shrine, this city-operated art museum was opened in the 1930s to celebrate the enthronement of the new emperor. It underwent major renovations from 2017 to 2020 and renamed to reflect the financial support by the Kyoto-based Kyocera company. The large brick building has a lot of floor space and shows a wide variety of exhibitions, from major works from the museum's collection to winning entries in local competitions.
For detail information: https://kyotocity-kyocera.museum/",4
None,妙法院,135.775354171108,34.99036,temple,buddha,"Ryōgonzan Renge-in Myōhō-ji (楞厳山蓮華院妙法寺) is a Buddhist temple of the Nichiren sect in Kamakura, Kanagawa, Japan. It is one of a group of three built near the site in Matsubagayatsu, or the Valley of Pine Needles (松葉ヶ谷), where Nichiren, founder of the Buddhist sect that bears his name, is supposed to have had his hut. The temple has also close ties with Prince Morinaga and the Imperial House.
For detail information: https://www.japan365days.com/kyoto_myohoin.php",4
None,金剛寺,135.77874537422,34.99836,temple,buddha,"Kongoji Zen Temple (Rinzai Zen Buddhism) was founded in 1394 by a monk named Kiko Houn. Kiko Houn was the 2nd monk of Gokurakuji Temple in Minamiashigara, about 300m south. It has been recorded that the temple was first used as a retirement home for Kiko Houn.
For detail information: https://www.shoryuzan-kongoji.jp/history/en.html",4
None,京都霊山護国神社,135.783109714221,34.999819795,jinja,shinto,"Kyoto Ryozen Gokoku is a shrine located in Kyoto honoring 1043 past heroes in Japanese history, especially from the Bakumatsu period of civil strife. The Bakamatsu period was a time of serious social upheaval in the late 1800`s when Japan was transitioning from a feudal samurai state to a modern democratic one. The shrine was built in 1868.
For detail information: http://www.gokoku.or.jp/en/",4
None,金戒光明寺,135.788466982302,35.01980366,temple,"buddha,mapple","Was founded in 1175, and is one of the eight head temples of JHODO sect, the major Buddhist denominations, and located in Sakyo Ward, Kyoto. The precincts of the Kurodani include the site where HONEN, the founder of the Jodo sect, stayed with his lifelong follower Shinku after leaving the mountain HIEIZAN in 1175 to proclaim his new Pure Land teaching.
For detail information: https://www.kurodani.jp/en/",3
None,貴船神社,135.762827130952,35.120945,jinja,shinto,"Kibune (貴船) is a small town in a forested valley in the northern mountains of Kyoto City, which developed around Kifune Shrine. According to legend, a goddess traveled in a boat from Osaka all the way up the river into the mountains north of Kyoto, and Kifune Shrine was built at the site where her boat journey had come to an end.
For detail information: https://kifunejinja.jp/en/",3
None,相国寺,135.761923555159,35.032775775,temple,buddha,"The temple of Shokoku-ji, officially Mannenzan Shokoku Joten Zenji, is the second of the Kyoto Gozan, the five leading Rinzai Zen temples in Kyoto during the medieval period. Tucked away into a quiet area in northern Kyoto, the silent remains of its original Entrance Gate (Sanmon) and Buddha Hall (Butsuden), now shaded with the intermingling branches of pine and cypress trees, remind the visitor of its former glory.
For detail information: https://www.shokoku-ji.jp/en/guide/",3
None,わら天神,135.731635546644,35.03619418,jinja,shinto,"Wara tenjin is known as as shrine for prayers for childbirth and child-rearing, and many worshipers come from all over Japan. It is the mmost famous shrine for prayers for safe delivery.
For detail information: https://japan-trip-guide.com/introduce/shikichi-jinja_shrine_wara-tenjin",3
None,保津川下り乗船場,135.586789331462,35.017775065,river,river,"While visiting Kyoto, you can't miss the Arashiyama area, which is home to the bamboo forest and one of the area's most scenic Kyoto river cruises. The Hozugawa River Boat Ride (Hozugawa Kudari) is a popular 2-hour, 16km cruise past cherry blossoms in spring and stunning autumn foliage in fall.
For detail information: https://www.hozugawakudari.jp/en/tickets-en",3
None,真如堂,135.789243529725,35.02154884,temple,"buddha,mapple","Shinsho-do is officially called Reishozan Shinsho Gokurakuji, and is a temple of the Tendai sect whose main mountain is Hieizan Enryakuji, which was founded by Kaisetsu Shonin in the second year of Eikan (984). There are many temples that call themselves Gokurakuji, but it was named with the meaning of ""a genuine sacred place for paradise,"" and the main hall, ""Shinsho-do,"" has become established as a popular name. The prayer of many people, including the founder of the Jodo sect, Honen Shonin, the founder of the Jodo Shin sect, Shinran saint, and many others, is dedicated to the degree of public life, especially the ""Nodding Mida"" that saves women.
For detail information: https://shin-nyo-do.jp/",3
None,京都府立堂本印象美術館,135.725926187612,35.035065345,museum,art,"Kyoto Prefectural Domoto-Insho Museum of Fine Arts (京都府立 堂本印象美術館), The museum is located in the northwestern Kyoto, near Kinugasa hill　and the area between Kinugasa and Omuro with rich environment of nature and history. Many temples and shrines were built along this road, called “Kinukake-no-michi”,　including the Kinkakuji temple and the Ninnaji temple, one of the World Cultural Heritage Site.
For detail information: https://www.hisour.com/kyoto-prefectural-domoto-insho-museum-fine-arts-kyoto-shi-japan-9816/
",3
None,石塀小路,135.779456232993,35.000025,street,movie,"From the south tower gate of Yasaka Shrine, go down Shimogawara-dori to the south, and the narrow alley on the left side of the 3rd (or 4th) line is the stone wall alley. Please be careful as it is a little difficult to understand. The landmark is the stone wall alley written on the outside light at the entrance of the alley. When you enter a narrow alley, the road surface is paved with cobblestones and townhouses line up on both sides, so you can enjoy the atmosphere of Kyoto. (A part of the stone pavement paved on the road is said to have relocated the paving stones of the abolished Kyoto streetcar.) The stone wall of the Machiya looks like a stone wall, so it has come to be called ""stone wall alley"".
For detail information: https://kyoto-design.jp/spot/9896",3
None,大覚寺,135.679474839109,35.02831506,temple,"buddha,garden","Daikakuji (大覚寺) is a large temple in the northern part of Kyoto's Sagano district. It was originally built in the early 800s as the detached palace of Emperor Saga, who thoroughly enjoyed spending time in this calm area on the outskirts of Kyoto. Thirty years after the emperor's death, the palace was converted into a temple and has since been one of the highest ranked temples of Shingon Buddhism.
For detail information: https://www.daikakuji.or.jp/english/ ",3
None,京都府立植物園,135.762828493628,35.048608145,park,plant,"Founded in 1924, Kyoto Botanical Gardens is the oldest and most comprehensive public botanical garden in Japan. With seasonal plants and various conservatories, the Gardens is ever-changing and can be enjoyed all year round. More than 450 cherry blossom trees bloom beautifully in spring and leaves of deciduous trees such as maple color exquisitely in autumn. At other times of the year, lush greenery and a wide variety of trees and flowers can be enjoyed. Kyoto Botanical Gardens is a living museum of plants that offers opportunities for both education and relaxation.
For detail information: http://www.pref.kyoto.jp/en/02-02-10.html",3
None,比叡山延暦寺,135.840587162736,35.069959825,temple,buddha,"Enryakuji was founded in 788 by Saicho, the monk who introduced Tendai Buddhism from China into Japan. At its peak, Enryakuji had as many as 3000 subtemples and a powerful army of warrior monks who often engaged in power struggles with other monasteries and political leaders.
For detail information: https://www.hieizan.or.jp/_att/english.pdf",3
None,梅小路公園,135.744525625,34.98741,park,park,"Although in walking distance from Kyoto Station, and thus in the heart of the city, this urban park offers wide open spaces with trees and flowers in some 12.5 hectares of land, where families and friends can enjoy strolls and picnics in amidst other people taking time out to relax. On the east side, there is the spacious Grass Plaza and the Kawara Riverside Playground, while in the center there is a modern Japanese garden Suzaku combined with the biotope Greenery Hall (charged), and on the west side there is the Furuai contact plaza along with a trolley train running on its own track (charged) 
For detail information: https://kyoto-universal.jp/en/universals/detail.php?lid=1247",3
None,大河内山荘庭園,135.669495553695,35.01665,garden,garden,"Ōkōchi Sansō (大河内山荘, Ōkōchi Sansō, literally ""Okochi Mountain Villa"") is the former home and garden of the Japanese jidaigeki (period film) actor Denjirō Ōkōchi in Arashiyama, Kyoto. The villa is open to the public for an admission fee and is known for its gardens and views of the Kyoto area. Several of the buildings are recorded as cultural properties by the national government.
For detail information: https://www.kyoto-museums.jp/en/museum/west/3849/",3
None,福王子神社,135.709001975806,35.029035,jinja,shinto,"Fukuoji Shrine is located near the Fukuoji intersection on the Shuzan Highway to Kaohsiung. It has been revered as a native god of the former Utano village. The deity enshrines the 58th Emperor Kouko's empress, Hanshi / Nakako, and Fukuoji Daimyojin.
For detail information: https://kyotofukoh.jp/report504.html ",3
None,大谷祖廟,135.782348932147,35.00224,cemetery,cemetery,"In 1272, ten years after Shinran's death, a mausoleum rather than a grave was built to enshrine his ashes together with his image. This mausoleum was moved on various occasions. However, after the division into Higashi and Nishi Honganji in 1602, Ōtani Mausoleum was finally constructed at its present location in 1670, though later it was rebuilt along with halls at the end of the 17th century.
For detail information: http://www.higashihonganji.or.jp/english/tour/otani/",3
None,鈴虫寺,135.685062665517,34.993545,temple,buddha,"The precincts where you can hear the sound of bell worms not only in autumn but throughout the four seasons. Therefore, the temple is known as ""Suzumushi Temple"", but the official name is ""Myotokuzan Suzumushi Temple"". Huayan Temple was opened by Hotan Shonin in 1723 in the middle of the Edo period to revive the Huayan sect, and is now a Zen temple belonging to the Rinzai sect.
For detail information: https://www.suzutera.or.jp/history/",2
None,安楽寺,135.796837692308,35.02168,temple,buddha,"Sumirenzan Anrakuji is located in Shishigadani, Sakyo-ku, Kyoto. It is based on the disciples of Honen, Sumiren and Anraku. The beginning of this temple was that the two priests of Kaisan connected ""Shishigatani Soan"" about 1 km east of their current location and had a base for missionary activitie
For detail information: http://anrakuji-kyoto.com/anrakuji.html",2
None,清水三年坂美術館,135.78129786286,34.997398515,museum,art,"The Kiyomizu Sannenzaka Museum is the first museum in Japan to take as its permanent collection metalwork, cloisonné, maki-e lacquerware and Kyoto Satsuma ware artworks of the late Edo and Meiji period. Metalworking, cloisonné enameling, and lacquering are technologies that were born in the various countries along the Silk Road, but maki-e lacquerware and the so-called “wireless” cloisonné especially developed so significantly in Japan as to become entirely new, uniquely Japanese techniques. 
For detail information: https://sannenzaka-museum.co.jp/en/",2
None,京都文化博物館,135.762267673705,35.00892205,museum,collection,"Introducing the history and culture of Kyoto. Information on using the Museum of Kyoto, Kyoto Prefecture . The latest information on general exhibitions, special exhibitions, film screenings at film theaters, and other events. Kyoto Prefecture Kyoto Culture Museum introduction of the annex (important cultural property and the former Bank of Japan Kyoto Branch).
For detail information: https://www.bunpaku.or.jp/en/",2
None,トロッコ亀岡駅,135.606746926432,35.01312021,station,station,"The Sagano Scenic Railway (嵯峨野観光鉄道, also known as the Sagano Romantic Train or Sagano Torokko) is a sightseeing train line that runs along the Hozugawa River between Arashiyama and Kameoka. Its charming, old fashioned trains wind their way through the mountains at a relatively slow pace, taking about 25 minutes to make the seven kilometer journey and giving passengers a pleasant view of the scenery as they travel from Arashiyama through the forested ravine and into rural Kameoka.
For detail information: https://www.sagano-kanko.co.jp/en/kameoka.php",2
None,鹿王院,135.684454131941,35.016368095,temple,"buddha,garden","Rokuoin Temple, located in the west of Kyoto, near Arashiyama is known for its autumn leaves and is a less-visited temple than its famous neighbor, Tenryuji. The long, straight entrance path leading from the main gate at Rokuoin Temple is lined with maple trees which burst into color during November. The garden surrounding the main hall employs the borrowed scenery of Arashiyama.
For detail information: https://www.japanvisitor.com/japan-temples-shrines/rokuoin-temple
",2
None,渉成園,135.763010082959,34.99123951,garden,garden,"A detached mansion of Higashi Honganji temple, built in the early Edo period (mid-seventeenth century). Its garden is a stroll garden arranged with teahouses and other structures. Four islands, including large northern and southern ones, are arranged in the large pond called Ingetsuchi in the southeastern part of the garden. A roofed bridge and another bridge span the pond to the northern island, which has a teahouse placed on its central high ground commanding a view of the garden and the outside. This deatched mansion is also called Kikokutei. It is designated a national scenic spot, and located in Shimogyō ward, Kyoto.
For detail information: http://www.higashihonganji.or.jp/english/tour/shosei-en/",2
None,修学院離宮,135.802114074876,35.05542,palace,garden,"Shugakuin Imperial Villa (修学院離宮, Shugakuin Rikyū) was built in the 17th century by Emperor Gomizuno and is now managed by the Imperial Household Agency. It consists of the Upper, Middle and Lower Villa areas, each featuring gardens and buildings of the traditional imperial style.
For detail information: https://sankan.kunaicho.go.jp/english/guide/shugakuin.html",2
None,化野念仏寺,135.664995567634,35.026546955,temple,"buddha,cemetery","In ancient times, the area called Adashino, located in the Sagano area, the northern reaches of the city of Kyoto, served as a huge cemetery. Not only were the dead were buried, but some graves were open. Corpses were abandoned, usually poor and without family, without burial. About 1200 years ago, Kobo-Daishi (also known as Kukai, 774-835) the famous founder of the Buddhist sect Shingon-shu, had the bones of corpses buried, and erected a temple, the Nyorai-ji.
For detail information: http://www.nenbutsuji.jp/",2
None,祇王寺,135.666994142628,35.023615,temple,"buddha,garden","Gioji Temple is a modest thatched hut surrounded by a bamboo grove and maple trees which appeared in “The Tale of the Heike”, known as the convent of tragic love to which the dancer Gio fled from their home in the capital with her mother and younger sister to become nuns when Gio fell out of favor with Taira no Kiyomori.
For detail information: https://www.giouji.or.jp/en/",2
None,大仙寺,135.699080762032,35.02755,temple,buddha,"Daisen-in Temple is the most famous sub-temple of Daitoku-ji Temple. Its beautiful garden is one of the greatest in Japan. Large rocks have been arranged in a small space to represent mountains and ravines. The garden employs all the elements of a classic Song dynasty Chinese landscape painting, but brings a three-dimensional form in a garden which surrounds the main hall on all four sides. 
For detail information: https://daisen-in.net/syokai.htm",2
None,六角堂,135.760347158975,35.00758413,temple,buddha,"Rokkaku-do (aka Choboji Temple; 頂法寺) is an urban Buddhist temple located just south of Karasuma-Oike Station in the center of Kyoto. Rokkaku-do is famous as the birthplace of ikebana flower arrangement in Japan, ikebana being one of the arts and crafts of Kyoto.
For detail information: https://www.ikenobo.jp/english/about/rokkakudo.html",2
None,大豊神社,135.796056863095,35.018285,jinja,shinto,"Otoyo Shrine is a small place of worship which is located on the South side of Kyoto’s Tetsugaku no Michi (Philosopher’s Path). This shrine used to be a place to enshrine the mountain right behind this shrine as a form of a god. Now it is a place to enshrine 3 people as its deities (Sukunahikona no Mikoto, Emperor Ojin and Sugawara no Michizane).
For detail information: https://sites.google.com/a/transwordtgm.com/https-sites-google-com-a-transwordtgm-com-sites/tgm-international/tgm-kyoto-guide/sakyo-ku/otoyo-shrine-da-li-shen-she ",2
None,安井金比羅宮,135.775900991794,35.00008895,jinja,shinto,"Yasui Konpira-gu is a quirky shrine in the Gion geisha and entertainment district of downtown Kyoto. It has become especially popular among young Japanese women who flock to the shrine to perform a ritual of crawling through a hole in a large ema-shaped stone, known as the enkiri or enmusubi stone. The ritual is performed to pray for breaking off bad relationships and initiating good ones. Supplicants write down their wishes on a white, paper amulet (katashiro), crawl through the hole in the stone, then back through again before pinning their amulet on the megalith along with the thousands of others covering it.
For detail information: http://www.yasui-konpiragu.or.jp/en/",2
None,平野神社,135.732471709864,35.03230358,jinja,shinto，sukura,"Located in northwest Kyoto, Hirano Shrine was established in the year 794 when the capital was transferred to Heian-kyo (the ancient name for Kyoto) from Nagaoka-kyo. 
The shrine has long enjoyed a relationship with Japan's Imperial Household and royal family. The shrine however is more famous today for its lovely cherry trees.
For detail information: https://www.hiranojinja.com/home/english-page",2
None,愛宕念仏寺,135.661251451817,35.03107476,temple,buddha,"Atago Shrine is a Shinto shrine on Mount Atago, the northwest of Kyoto, Japan. Enshrined is Atago Gongen who protects Kyoto from fire. Shugendō practices and a place for worship are known from the eighth century. The late-Kamakura period Honden has been designated an Important Cultural Property.
For detail information: https://www.japanhoppers.com/en/kansai/kyoto/kanko/623/",2
None,勝林院,135.834345152571,35.12087937,temple,buddha,"Shorin-in is a stately Tendai sect temple located in the lovely village of Ohara to the north east of Kyoto. Shoren-in is associated with the study of Buddhist chanting called shomyo. Shoren-in's two sub-temples are the nearby Jikko-in and Hosen-in, one of the so-called ""Bloody Temples of Kyoto.""
For detail information: https://www.japanvisitor.com/japan-temples-shrines/shorinin",2
None,誓願寺,135.767701002337,35.007328185,temple,buddha,"Seiganji Temple is the head temple of the ""Jodo Sect Nishiyama Fukakusa School"" in the middle of Shinkyogoku Dori, the center of Kyoto. It was founded as a sacred place for the Pure Land Buddhism, which dates back to the Asuka period and continues with Honen Shonin, Nishiyama Kunishi, and Ritsunobu Shonin in its long history. , ""A place of worship closely related to daily life = Nembutsu Dojo"" has been loved by people.
For detail information:https://www.fukakusa.or.jp/p002.html",1
None,若宮八幡宮社,135.774886048797,34.9951024,jinja,shinto,"Known locally as Toki Shrine, the Wakamiya Hachimangu is located near Gojo which is a little south of Gion in the Higashiyama district of Kyoto. This is the heart of the old pottery district, and in August the Kyoto Gojozaka Ceramic Festival is held at the shrine with stalls along the street in front.
For detail information: http://www.tsurugaoka-hachimangu.jp/precinct_guide/15_wakamiya_shrine.html",1
None,梅小路蒸気機関車館,135.743106464198,34.987233605,museum,steam locomotive,"Two well-known railway preservation activities in Japan are the Umekoji Steam Locomotive Museum (USLM) and the Yamaguchi-go steam locomotive (SL) operation. Although both the museum and steam operation date from days of Japanese National Railways (JNR), they are now run by JR West and typify some of the company's cultural activities. 
For detail information: http://www.kyotorailwaymuseum.jp/en/about/",1
None,寂光院,135.821177194545,35.123875065,temple,buddha,"Jakko-in Temple is a nunnery of the Tendai sect, said to have been built in the year 594 by Prince Shotoku as a memorial for his father, Emperor Yomei. It is also famous for being the location where Kenreimon-in, daughter of Taira no Kiyomori, empress-consort of Emperor Takakura, and mother of Emperor Antoku, lived her secluded life 800 years ago.
For detail information: http://www.jakkoin.jp/en/",1
None,泉涌寺,135.781024249659,34.978823415,temple,"buddha,garden","Sennyuji Temple is located at the foot of Mt. Tsukiwa, one of the 36 peaks of Higashiyama. As a bodhisattva of the imperial family and as a dojo for various denominations and studies, the magnificent Dou is lined up, and it has become a clean and innocent law castle.
For detail information: https://www.mitera.org/guide",1
